Lat,Lon,State_Ab,County
36.520689,-80.983323,NC,ALLEGHANY
35.938931,-81.149233,NC,ALEXANDER
35.628016,-82.556751,NC,BUNCOMBE
35.409905,-83.479397,NC,SWAIN
36.038317,-82.205783,NC,MITCHELL
35.430091,-83.092783,NC,JACKSON
35.205962,-82.898272,NC,TRANSYLVANIA
35.4319,-82.544826,NC,HENDERSON
35.835649,-82.268193,NC,YANCEY
35.492743,-82.959555,NC,HAYWOOD
35.261201,-82.123534,NC,POLK
35.423135,-83.779522,NC,GRAHAM
35.155829,-83.422421,NC,MACON
35.738725,-82.059494,NC,MCDOWELL
35.808232,-82.752619,NC,MADISON
35.219991,-83.785397,NC,CHEROKEE
35.025885,-83.878025,NC,CLAY
33.685155,-80.190733,SC,CLARENDON
34.126535,-81.234811,SC,RICHLAND
33.206294,-80.973559,SC,BAMBERG
33.871866,-81.414643,SC,LEXINGTON
34.436891,-80.532238,SC,KERSHAW
34.207324,-80.306569,SC,LEE
34.596281,-81.083171,SC,CHESTER
34.41478,-81.270211,SC,FAIRFIELD
33.341855,-80.565482,SC,ORANGEBURG
33.570316,-80.708141,SC,CALHOUN
34.567049,-81.481439,SC,UNION
34.221772,-81.872428,SC,NEWBERRY
34.025111,-80.478151,SC,SUMTER
33.785465,-79.832218,SC,WILLIAMSBURG
34.588803,-80.718482,SC,LANCASTER
34.269558,-80.005897,SC,DARLINGTON
33.029619,-80.762449,SC,COLLETON
34.470238,-80.256814,SC,CHESTERFIELD
33.88797,-81.679404,SC,SALUDA
33.937811,-79.903726,SC,FLORENCE
33.605723,-81.365813,SC,AIKEN
35.011309,-81.993403,SC,SPARTANBURG
34.43492,-81.893558,SC,LAURENS
35.00549,-81.63383,SC,CHEROKEE
32.780326,-79.940844,SC,CHARLESTON
33.192514,-80.03063,SC,BERKELEY
33.014817,-80.195143,SC,DORCHESTER
33.439327,-79.367525,SC,GEORGETOWN
33.939968,-79.041027,SC,HORRY
34.598755,-79.707693,SC,MARLBORO
34.026958,-79.353715,SC,MARION
34.422187,-79.341359,SC,DILLON
34.848567,-82.402871,SC,GREENVILLE
