group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
34,CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY,3456,5,Industrial Products & Services,5.1,Machinery & Components
34,MACHINE TOOL ACCESSORIES,3460,5,Industrial Products & Services,5.1,Machinery & Components
34,ACCESSORIES FOR SECONDARY METALWORKING MACHINERY,3461,5,Industrial Products & Services,5.1,Machinery & Components
34,"PRODUCTION JIGS, FIXTURES, AND TEMPLATES",3465,5,Industrial Products & Services,5.1,Machinery & Components
34,"MACHINE SHOP SETS, KITS, AND OUTFITS",3470,5,Industrial Products & Services,5.1,Machinery & Components
35,LAUNDRY AND DRY CLEANING EQUIPMENT,3510,5,Industrial Products & Services,5.1,Machinery & Components
35,SHOE REPAIRING EQUIPMENT,3520,5,Industrial Products & Services,5.1,Machinery & Components
35,INDUSTRIAL SEWING MACHINES AND MOBILE TEXTILE REPAIR SHOPS,3530,5,Industrial Products & Services,5.1,Machinery & Components
35,WRAPPING AND PACKAGING MACHINERY,3540,5,Industrial Products & Services,5.1,Machinery & Components
35,VENDING AND COIN OPERATED MACHINES,3550,5,Industrial Products & Services,5.1,Machinery & Components
35,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,3590,5,Industrial Products & Services,5.1,Machinery & Components
36,FOOD PRODUCTS MACHINERY AND EQUIPMENT,3605,5,Industrial Products & Services,5.1,Machinery & Components
36,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",3610,5,Industrial Products & Services,5.1,Machinery & Components
36,INDUSTRIAL MARKING MACHINES,3611,5,Industrial Products & Services,5.1,Machinery & Components
36,PULP AND PAPER INDUSTRIES MACHINERY,3615,5,Industrial Products & Services,5.1,Machinery & Components
36,RUBBER AND PLASTICS WORKING MACHINERY,3620,5,Industrial Products & Services,5.1,Machinery & Components
36,TEXTILE INDUSTRIES MACHINERY,3625,5,Industrial Products & Services,5.1,Machinery & Components
36,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,3630,5,Industrial Products & Services,5.1,Machinery & Components
36,CRYSTAL AND GLASS INDUSTRIES MACHINERY,3635,5,Industrial Products & Services,5.1,Machinery & Components
36,TOBACCO MANUFACTURING MACHINERY,3640,5,Industrial Products & Services,5.1,Machinery & Components
36,LEATHER TANNING AND LEATHER WORKING INDUSTRIES MACHINERY,3645,5,Industrial Products & Services,5.1,Machinery & Components
36,CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY,3650,5,Industrial Products & Services,5.1,Machinery & Components
36,"GAS GENERATING AND DISPENSING SYSTEMS, FIXED OR MOBILE",3655,5,Industrial Products & Services,5.1,Machinery & Components
36,INDUSTRIAL SIZE REDUCTION MACHINERY,3660,5,Industrial Products & Services,5.1,Machinery & Components
36,"SPECIALIZED SEMICONDUCTOR, MICROCIRCUIT, AND PRINTED CIRCUIT BOARD MANUFACTURING MACHINERY",3670,5,Industrial Products & Services,5.1,Machinery & Components
36,"FOUNDRY MACHINERY, RELATED EQUIPMENT AND SUPPLIES",3680,5,Industrial Products & Services,5.1,Machinery & Components
36,SPECIALIZED METAL CONTAINER MANUFACTURING MACHINERY AND RELATED EQUIPMENT,3685,5,Industrial Products & Services,5.1,Machinery & Components
